"sep=;";;;
Body Region;Procedure (Order As);Reason for Exam;CPT Code
LOWER EXTREMITY;<u>Order specific body part</u>:<br>MR Femur/Thigh wo+w Con Lt<br>MR Femur/Thigh wo+w Con Rt<br>MR Tib/Fib wo+w con Lt<br>MR Tib/Fib wo+w con Rt<br>MR Foot wo+w Con Lt<br>MR Foot wo+w Con Rt;Abscess, Ulcer, Bone Tumor, Mass, Cancer, Mets, Cellulitis, Fasciitis, Myositis, Morton's Neuroma, Osteomyelitis, Soft Tissue Tumor, Mass;73720
LOWER EXTREMITY;XR Ankle 2 Views Bil<br>XR Ankle 2 Views Lt<br>XR Ankle 2 Views Rt;2 views;73600
LOWER EXTREMITY;XR Ankle 3+ Views Bil<br>XR Ankle 3+ Views Lt<br>XR Ankle 3+ Views Rt;Complete, 3 views or more;73610
LOWER EXTREMITY;XR Calcaneus 2+ Views Bil<br>XR Calcaneus 2+ Views Lt<br>XR Calcaneus 2+ Views Rt;Minimum 2 views;73650
LOWER EXTREMITY;XR Femur 1 View Lt<br>XR Femur 1 View Rt;1 view;73551
LOWER EXTREMITY;XR Femur 2+ Views Bil<br>XR Femur 2+ Views Lt<br>XR Femur 2+ Views Rt;2 views;73552
LOWER EXTREMITY;XR Foot 2 Views Bil<br>XR Foot 2 Views Lt<br>XR Foot 2 Views Rt;2 views;73620
LOWER EXTREMITY;XR Foot 3+ Views Bil<br>XR Foot 3+ Views Lt<br>XR Foot 3+ Views Rt;Complete, 3 views or more;73630
LOWER EXTREMITY;XR Knee 1-2 Views Bil<br>XR Knee 1-2 Views Lt<br>XR Knee 1-2 Views Rt;1-2 views;73560
LOWER EXTREMITY;XR Knee 3 Views Bil<br>XR Knee 3 Views Lt<br>XR Knee 3 Views Rt;3 views;73562
