"sep=;";;;;;
Protocol;Anatomy;Procedure (Order As);Clinical Indications;Durations;Prep
<a href='https://drive.google.com/file/d/1ciIkRhxayNyS7d7w5Sop-lB-2kB7eSs7/view' target='_blank'>DHAI US 600 PED SPINE</a>;INFANT SPINE;US Spinal Canal+Content;Infant spinal abnormalities: sacral dimples, hair tufts, or skin tags<br>Pt Scanned from 0-6 months;60 min;NO PREP
<a href='https://drive.google.com/file/d/1f5l-iJICuj7i6tOrsbyaEmGiuX1u1jC3/view' target='_blank'>DHAI US 601 PED HIP</a>;INFANT HIPS;US Hips Infant Dynamic;Clicking hip, asymmetrical creases, family history of congenital hip dysplasia/dislocation, breech, oligohydramnios, limited abduction, foot deformities<br>Pt scanned 4 weeks-6 months from birthdate;60 min;NO PREP
<a href='https://drive.google.com/file/d/1dfjswEMVp5N7ACu1fkV3N2GzWXrZDll2/view' target='_blank'>DHAI US 602 PED BRAIN</a>;INFANT BRAIN;US Encephalogram;Abnormal head circumference, Macrocephaly<br>Pt Scanned from 0 to <8 months;45 min;NO PREP
<a href='https://drive.google.com/file/d/1eU6xMS3H1AfCW2K0XDN0gB15LEstlJ9Y/view' target='_blank'>DHAI US 603 PED PYLORIC</a>;INFANT PYLORUS;US Abdomen Limited;Poor Weight Gain, Vomiting, Pyloric Stenosis<br>Pt Scanned from 0 to <6 months;30 min;2 HR FAST PREFERRED
<a href='https://drive.google.com/file/d/1Zr48F5HDAokBN_YSZN0COqe84CI98bJc/view' target='_blank'>DHAI US 700 BR LTD</a>;BREAST, AXILLA;US Breast Ltd Bil - MRS<br>US Breast Ltd Lt - MRS<br>US Breast Ltd Rt - MRS;Symptomatic: Lump, Pain, or Screening Callback;20 min;NO PREP
<a href='https://drive.google.com/file/d/1_nBiMDjtw8lnJ9aN8AErEVB8IRbPDZ04/view' target='_blank'>DHAI US 701 BR COMP</a>;BREAST, AXILLA;US Breast Complete Bil - MRS<br>US Breast Complete Lt - MRS<br>US Breast Complete Rt - MRS;Symptomatic: Lump, Pain, or Screening Callback. Concern within 3 or more quadrants of the breast and the axilla area;20 min;NO PREP
<a href='https://drive.google.com/file/d/1IfMqJPdeCDwC9mteuv1V4AYachoueoiw/view' target='_blank'>DHAI US 702 BR ABUS</a>;BILATERAL BREAST;US Screening Auto Whole Breast Bil - MRS<br>US Screening Auto Whole Breast Lt - MRS<br>US Screening Auto Whole Breast Rt - MRS;Screening, asymptomatic;30 min;NO PREP
<a href='https://drive.google.com/file/d/1KVC4vHqSNAEQZWZlLVhV-Y-onTv_J6Su/view' target='_blank'>DHAI US 703 BR BX</a>;BREAST;US Bx Breast 1st Lesion Lt - MRS<br>US Bx Breast 1st Lesion Rt - MRS;The request must clearly state the procedure and justify the use of ultrasound guidance. It also needs enough information—such as known/provisional diagnoses, relevant history, signs, symptoms, and/or complementary imaging results—to document medical necessity and allow proper performance.;60 min;NO PREP
<a href='https://drive.google.com/file/d/1EPvxdndZFkBq0R2QjLYrkFQNo2dhfQ7G/view' target='_blank'>DHAI US 704 BR ASP</a>;BREAST;US Aspiration Cyst Breast 1st - MRS;The request must clearly state the procedure and justify the use of ultrasound guidance. It also needs enough information—such as known/provisional diagnoses, relevant history, signs, symptoms, and/or complementary imaging results—to document medical necessity and allow proper performance.;60 min;NO PREP
<a href='https://drive.google.com/file/d/1M81HMGLEJrhcYYGXEi92gN-Rcoex_Arv/view' target='_blank'>DHAI US 705 BR SURG MARKER</a>;BREAST;US Plc Breast Localization Lt - MRS<br>US Plc Breast Localization Rt - MRS;Ultrasound-Guided Marker Placement for Breast Surgery;60 min;NO PREP
<a href='https://drive.google.com/file/d/1xQGje7BoV2sxu10hDDw9a-nZ9CJj9C4V/view' target='_blank'>DHAI US 706 BR AX LN BX</a>;AXILLA;US Bx Lymph Node Super - MRS;Biopsy of Axillary Lymph Node. The request must clearly state the procedure and justify the use of ultrasound guidance. It also needs enough information—such as known/provisional diagnoses, relevant history, signs, symptoms, and/or complementary imaging results—to document medical necessity and allow proper performance.;60 min;NO PREP
<a href='https://drive.google.com/file/d/1FgtQ2qsR3Xwg8qJyTe4l4Pss7aGiJjzA/view' target='_blank'>DHAI US 707 AXILLA</a>;AXILLA;-Female<br>US Breast Ltd Bil - MRS<br>US Breast Ltd Lt - MRS<br>US Breast Ltd Rt - MRS<br><br>-Male w/only axilla indication<br>US Extrem Non Vasc Ltd Bil<br>US Extrem Non Vasc Ltd Lt<br>US Extrem Non Vasc Ltd Rt;Symptomatic: Lump, Pain;20 min/30 min;NO PREP
<a href='https://drive.google.com/file/d/1_dagCM1F20etE1SVRYa6kSWKADPR07rc/view' target='_blank'>DHAI US 800 MSK GENERAL</a>;TENDONS, MUSCLES, LIGAMENTS, NERVES;US Extrem Non Vasc Comp Lt<br>US Extrem Non Vasc Comp Rt;Evaluation of tendons (tears, tendonitis, including shoulder rotator cuff), muscle tears, ligaments, nerves (if carpal tunnel see dedicated protocol), Evaluation of mass/fluid collection if there is concern for muscle tear/strain;60 min;NO PREP
<a href='https://drive.google.com/file/d/1Ly-3-J2V2ce4tYeTxUm0NFGZHfQakqLY/view' target='_blank'>DHAI US 801 MSK ACHILLES</a>;TENDONS, MUSCLES, LIGAMENTS, NERVES;US Extrem Non Vasc Comp Lt<br>US Extrem Non Vasc Comp Rt;Evaluation of tendons and tears;60 min;NO PREP
<a href='https://drive.google.com/file/d/18YCM5lrS_oinwqQsZ96U78gtDbxYW6bZ/view' target='_blank'>DHAI US 802 MSK CARPAL/MEDIAN NERVE</a>;MEDIAN NERVE;US Extrem Non Vasc Comp Lt<br>US Extrem Non Vasc Comp Rt;Evaluation of Median Nerve<br>Carpal Tunnel Exam;60 min;NO PREP
<a href='https://drive.google.com/file/d/1CziuXeXLQ9Uc6Un9rMw5_R3-nuUXQrMe/view' target='_blank'>DHAI US 803 MSK JOINT INJ</a>;VARIES;US Guided Ndl Plc Bx/Asp/Inj;Pain, for aspiration - infection, for barbotage - pain, per physician request;60 min;NO PREP
